2025-05-08 15:25:12,340 - root - INFO - Overwatch Aim Assist started
2025-05-08 15:25:15,059 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.0451868, 'position': {'x': 53, 'y': 151}, 'area': 7178.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:15,060 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.0451868, 'position': {'x': 53, 'y': 151}, 'area': 6917.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:15,062 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.0451868, 'position': {'x': 231, 'y': 143}, 'area': 96.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:15,085 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.0755873, 'position': {'x': 53, 'y': 151}, 'area': 7175.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:15,086 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.0755873, 'position': {'x': 53, 'y': 151}, 'area': 6906.5, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:15,087 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.0755873, 'position': {'x': 232, 'y': 140}, 'area': 99.5, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:15,099 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.0912948, 'position': {'x': 53, 'y': 151}, 'area': 7201.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:15,100 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.0912948, 'position': {'x': 53, 'y': 151}, 'area': 6924.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:15,101 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.0912948, 'position': {'x': 232, 'y': 140}, 'area': 99.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:15,125 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.10677, 'position': {'x': 53, 'y': 152}, 'area': 7183.5, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:15,127 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.10677, 'position': {'x': 53, 'y': 152}, 'area': 6924.0, 'mouse_position': {'x': 960, 'y': 536}}
